Día,"Temperaturas (°C) Máxima","Temperaturas (°C) Mínima","Temperaturas (°C) Promedio","Lluvia Diaria mm (litros/m²) Mes Actual","Lluvia Diaria mm (litros/m²) Acum. Actual","Lluvia Diaria mm (litros/m²) Promedio Histórico","Lluvia Diaria mm (litros/m²) Acum. Promedio Histórico","Viento Máximo Velocidad (Km/h)","Viento Máximo Dirección (°)","Viento Máximo Hora Local","Dirección del viento predominante"
1,29.6,25.2,27.4,46.5,46.5,,,18.5,120,16:00,Sur
2,,,,,,,,,,,
3,29.6,25.2,27.4,46.5,93.0,,,20.0,120,16:00,Sur
4,30.8,28.6,29.7,0.0,93.0,,,22.0,170,12:00,Sur
5,31,23.6,27.3,72.5,165.5,,,18.5,100,10:00,Sur
6,32.6,26,29.3,0.5,166.0,,,16.6,360,14:00,Variable
7,31.8,24.2,28,0.0,166.0,,,14.8,180,17:00,Sur
8,31.2,26,28.6,1.5,167.5,,,18.5,110,10:00,Sur
9,28.8,25.4,27.1,7.2,174.7,,,20.0,170,12:00,Sur
10,29.6,25.6,27.6,1.4,176.1,,,14.8,170,15:00,Sur
11,32.5,24.5,28.5,0.0,176.1,,,14.8,180,16:00,Sur
12,32.6,26.1,29.4,3.1,179.2,,,33.3,350,12:00,Noroeste
13,29.5,26.8,28.2,0.0,179.2,,,16.7,310,16:00,Nor-Noroeste
14,31.2,26,28.6,1.5,180.7,,,18.5,110,11:00,Sur
15,28.4,24.5,26.5,0.3,181.0,,,14.8,40,07:00,Nor-Noroeste
16,,,,,,,,,,,
17,29.7,26.1,27.9,0.0,181.0,,,11.1,180,15:00,Sur
18,33,25.4,29.2,0.0,181.0,,,22.2,310,18:00,Noroeste
19,33.4,27.4,30.4,0.0,181.0,,,14.8,310,15:00,Nor-Noroeste
20,33.4,27.4,30.4,0.0,181.0,,,14.8,310,15:00,Nor-Noroeste
21,29.5,25.8,27.7,6.3,187.3,,,40.7,160,10:31,Noroeste
22,30.5,25.5,28,0.0,187.3,,,20.4,350,13:00,Oeste-Noroeste
23,27.6,25.8,26.7,0.0,187.3,,,16.7,320,15:00,Nor-Noroeste
24,30.1,24.6,27.4,0.0,187.3,,,14.8,320,13:00,Noroeste
25,28.2,25.2,26.7,0.0,187.3,,,16.7,290,16:00,Noroeste
26,28.5,25.2,26.9,3.6,190.9,,,9.3,80,12:22,Este
27,31.5,24.4,28,0.2,191.1,,,14.8,360,16:00,Variable
28,32.1,26.1,29.1,13.1,204.2,,,16.7,350,15:44,Noroeste
29,32.4,26.4,29.4,0.0,204.2,,,18.5,320,13:00,Nor-Noroeste
30,32.4,26.4,29.4,0.0,204.2,,,18.0,320,13:00,Noroeste
Promedio,30.8,25.7,28.2,7.3,,0.0,,18.3,,,
Extremo,33.4,23.6,30.4,72.5,,0.0,,40.7,,,
"Total Mensual",,,,204.2,,0.0,,,,,
