Día,"Temperaturas (°C) Máxima","Temperaturas (°C) Mínima","Temperaturas (°C) Promedio","Lluvia Diaria mm (litros/m²) Mes Actual","Lluvia Diaria mm (litros/m²) Acum. Actual","Lluvia Diaria mm (litros/m²) Promedio Histórico","Lluvia Diaria mm (litros/m²) Acum. Promedio Histórico","Viento Máximo Velocidad (Km/h)","Viento Máximo Dirección (°)","Viento Máximo Hora Local","Dirección del viento predominante"
1,29.8,23.7,26.8,30.7,30.7,,,18.5,300,15:31,Variable
2,,23.5,,0.0,30.7,,,18.5,100,12:00,Variable
3,,,,,,,,,,,
4,31.5,22.4,27,0.0,30.7,,,20.3,27,13:00,Norte
5,32.6,23.1,27.9,0.0,30.7,,,29.6,350,16:00,Norte
6,31.9,22.8,27.4,0.0,30.7,,,25.9,340,12:00,Nor-Noroeste
7,31.5,23.2,27.4,0.2,30.9,,,22.2,300,17:00,Nor-Noroeste
8,32,23.9,28,0.0,30.9,,,16.6,320,19:00,Noroeste
9,30.9,22.9,26.9,49.7,80.6,,,27.7,350,15:02,Norte
10,29.6,23.8,26.7,52.5,133.1,,,22.2,280,13:17,Oeste-Noroeste
11,29.5,24,26.8,0.0,133.1,,,12.9,350,16:00,Noroeste
12,30.5,23.7,27.1,2.5,135.6,,,18.5,350,16:00,Norte
13,,,,,,,,,,,
14,30.9,24,27.5,1.0,136.6,,,33.3,340,15:00,Norte
15,30.5,23.3,26.9,0.0,136.6,,,22.2,350,14:00,Norte
16,31.5,23.8,27.7,0.0,136.6,,,22.2,350,14:00,Norte
17,32.3,22.3,27.3,0.0,136.6,,,16.7,150,13:00,Noroeste
18,31.6,22.6,27.1,15.9,152.5,,,48.1,340,16:39,Nor-Noreste
19,30.7,22.6,26.7,0.0,152.5,,,20.4,170,14:00,Nor-Noroeste
20,32.1,23.9,28,0.0,152.5,,,20.4,360,16:00,Norte
21,31.9,23,27.5,0.0,152.5,,,37.0,360,12:00,Norte
22,31.3,23,27.2,0.0,152.5,,,27.8,330,16:15,Nor-Noroeste
23,31.3,23,27.2,0.0,152.5,,,27.8,330,16:15,Nor-Noroeste
24,31.8,24.9,28.4,0.0,152.5,,,18.5,340,12:00,Nor-Noroeste
25,32.2,25.2,28.7,0.0,152.5,,,16.7,320,18:00,Nor-Noroeste
26,23.3,24.8,24.1,0.0,152.5,,,37.0,360,15:00,Noroeste
27,,,,,,,,,,,
28,,,,,,,,,,,
29,31.8,22.9,27.4,0.0,152.5,,,35.2,350,15:00,Norte
30,31.9,22.8,27.4,0.0,152.5,,,35.2,350,14:00,Norte
31,32.2,23.6,27.9,0.0,152.5,,,38.8,350,14:00,Norte
Promedio,31.0,24.3,27.3,5.6,,0.0,,25.6,,,
Extremo,32.6,22.3,28.7,52.5,,0.0,,48.1,,,
"Total Mensual",,,,152.5,,0.0,,,,,
