Día,"Temperaturas (°C) Máxima","Temperaturas (°C) Mínima","Temperaturas (°C) Promedio","Lluvia Diaria mm (litros/m²) Mes Actual","Lluvia Diaria mm (litros/m²) Acum. Actual","Lluvia Diaria mm (litros/m²) Promedio Histórico","Lluvia Diaria mm (litros/m²) Acum. Promedio Histórico","Viento Máximo Velocidad (Km/h)","Viento Máximo Dirección (°)","Viento Máximo Hora Local","Dirección del viento predominante"
1,32.8,24.7,28.8,0.0,0.0,,,20.4,310,18:00,Sur-Sureste
2,35.7,25.4,30.6,0.0,0.0,,,13.0,110,12:00,Sur
3,34.7,27,30.9,0.0,0.0,,,33.3,340,11:00,Nor-Noroeste
4,34.4,26.2,30.3,0.0,0.0,,,28.0,310,17:00,Nor-Noroeste
5,35.2,26.5,30.9,0.0,0.0,,,29.6,310,11:00,Nor-Noroeste
6,,,,0.0,0.0,,,,,,N/D
7,33.5,24.6,29.1,0.0,0.0,,,40.0,350,12:17,Norte
8,32.5,26,29.3,0.0,0.0,,,26.0,320,16:00,Noroeste
9,33.9,26.9,30.4,0.0,0.0,,,26.0,320,17:00,Noroeste
10,33.5,25.6,29.6,40.5,40.5,,,44.0,350,18:30,Noroeste
11,32.5,25.8,29.2,7.8,48.3,,,22.0,350,17:00,Sur
12,33,24,28.5,0.0,48.3,,,18.5,10,11:00,Sur
13,32.7,25.5,29.1,2.4,50.7,,,18.5,340,18:00,Nor-Noroeste
14,32.5,26.8,29.7,0.0,50.7,,,33.3,310,14:00,Nor-Noroeste
15,31.5,26.1,28.8,0.2,50.9,,,13.0,320,17:00,Noroeste
16,32.9,25.5,29.2,3.7,54.6,,,20.4,360,15:22,Noroeste
17,33.2,25.6,29.4,0.0,54.6,,,33.3,310,15:00,Noroeste
18,33.6,26.2,29.9,0.0,54.6,,,24.1,290,15:00,Noroeste
19,34.1,27.2,30.7,0.0,54.6,,,25.9,350,17:00,Nor-Noroeste
20,33.5,26.2,29.9,6.9,61.5,,,37.0,310,15:00,Noroeste
21,30.4,25,27.7,34.8,96.3,,,14.8,340,09:00,Noroeste
22,,,,,,,,,,,
23,29.8,25.3,27.6,0.0,96.3,,,20.3,110,13:00,Este-Sureste
24,31.7,25.4,28.6,4.5,100.8,,,13.0,290,16:00,Sur
25,31.5,24.9,28.2,0.0,100.8,,,16.7,170,15:00,Sur
26,31,25.8,28.4,6.0,106.8,,,14.8,90,12:00,Este-Sureste
27,31.5,25.8,28.7,0.0,106.8,,,16.6,160,15:00,Sur
28,33.7,24.5,29.1,0.0,106.8,,,18.5,310,14:00,Nor-Noroeste
29,31.9,24,28,8.5,115.3,,,31.5,340,13:11,Nor-Noroeste
30,,,,,,,,,,,
31,,24.3,,3.2,118.5,,,14.8,180,14:00,Sur
Promedio,32.9,26.5,29.3,4.1,,0.0,,23.8,,,
Extremo,35.7,24,30.9,40.5,,0.0,,44.0,,,
"Total Mensual",,,,118.5,,0.0,,,,,
